,NAME,Proportion_of_married-couple_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Proportion_of_female-householder_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher
192,19701,0.016260162601626018,0.007150715071507151,0.02363238512035011,0.008358874338255782,0.4896551724137931,0.2391304347826087,0.09808102345415778,0.0
193,19713,0.08278145695364239,0.042314872433105166,0.014914243102162566,0.06222775357809583,0.07368421052631578,0.1335559265442404,0.16494845360824742,0.11299435028248588
195,20110,0.13472622478386168,0.03496973772696705,0.04725124943207633,0.014892268694550063,0.2987012987012987,0.07021791767554479,0.17647058823529413,0.0
196,20121,0.1858974358974359,0.0,0.006487488415199258,0.054022988505747126,0.14285714285714285,0.06405693950177936,0.18546365914786966,0.015113350125944584
198,20181,0.0,0.0,0.00823045267489712,0.0,0.3333333333333333,0.0,0.10144927536231885,0.10227272727272728
199,20602,0.08181818181818182,0.03461538461538462,0.00631578947368421,0.04212299915754002,0.7536231884057971,0.2295302013422819,0.11317567567567567,0.051233396584440226
200,20603,0.3968253968253968,0.03369272237196765,0.025100401606425703,0.008059100067159167,0.0,0.1593625498007968,0.10526315789473684,0.0
201,20607,0.1774193548387097,0.02888086642599278,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
202,20653,0.12446351931330472,0.0,0.016715116279069766,0.01195219123505976,0.09777777777777778,0.44298245614035087,0.214190093708166,0.0
203,20659,0.06805293005671077,0.06260387811634349,0.017453135100193924,0.020456333595594022,0.35454545454545455,0.0,0.22346368715083798,0.0
204,20832,0.044444444444444446,0.05827505827505827,0.024413145539906103,0.002508551881413911,0.0,0.0,0.0,0.1670886075949367
206,20164,0.04250871080139373,0.048503611971104234,0.01831069108092144,0.015304560759106214,0.23577235772357724,0.0,0.0,0.0
207,20180,0.0,0.0,0.030226700251889168,0.0035087719298245615,0.7692307692307693,0.2727272727272727,0.0,0.0
210,20754,0.0,0.04436860068259386,0.014527845036319613,0.0069124423963133645,0.0,0.0,0.0,0.0
211,20755,0.0,0.12444444444444444,0.0215962441314554,0.030915576694411414,1.0,1.0,0.0,0.39344262295081966
212,20676,0.0,0.0,0.0,0.0,0.0,0.0,0.16417910447761194,0.14705882352941177
